label,text,source
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,sms-spam
ham,Lol your always so convincing.,sms-spam
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,sms-spam
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",sms-spam
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,sms-spam
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",sms-spam
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,sms-spam
ham,K tell me anything about you.,sms-spam
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,sms-spam
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,sms-spam
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,sms-spam
ham,"Oops, I'll let you know when my roommate's done",sms-spam
ham,I see the letter B on my car,sms-spam
ham,Anything lor... U decide...,sms-spam
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,sms-spam
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,sms-spam
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",sms-spam
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,sms-spam
ham,WHO ARE YOU SEEING?,sms-spam
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,sms-spam
ham,No calls..messages..missed calls,sms-spam
ham,Didn't you get hep b immunisation in nigeria.,sms-spam
ham,"Fair enough, anything going on?",sms-spam
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",sms-spam
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,sms-spam
ham,What you thinked about me. First time you saw me in class.,sms-spam
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",sms-spam
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,sms-spam
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",sms-spam
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms-spam
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,sms-spam
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",sms-spam
ham,"Sorry, I'll call later in meeting.",sms-spam
ham,Tell where you reached,sms-spam
ham,Yes..gauti and sehwag out of odi series.,sms-spam
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,sms-spam
ham,Ha ha ha good joke. Girls are situation seekers.,sms-spam
ham,Its a part of checking IQ,sms-spam
ham,"Sorry my roommates took forever, it ok if I come by now?",sms-spam
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,sms-spam
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",sms-spam
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",sms-spam
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",sms-spam
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",sms-spam
ham,I plane to give on this month end.,sms-spam
ham,Wah lucky man... Then can save money... Hee...,sms-spam
ham,Finished class where are you.,sms-spam
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,sms-spam
ham,K..k:)where are you?how did you performed?,sms-spam
ham,U can call me now...,sms-spam
ham,I am waiting machan. Call me once you free.,sms-spam
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,sms-spam
ham,I like you peoples very much:) but am very shy pa.,sms-spam
ham,Does not operate after  &lt;#&gt;  or what,sms-spam
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,sms-spam
ham,"Sorry, I'll call later",sms-spam
ham,K. Did you call me just now ah? ,sms-spam
ham,Ok i am on the way to home hi hi,sms-spam
ham,You will be in the place of that man,sms-spam
ham,Yup next stop.,sms-spam
ham,"I call you later, don't have network. If urgnt, sms me.",sms-spam
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,sms-spam
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,sms-spam
ham,I'm really not up to it still tonight babe,sms-spam
ham,"Ela kano.,il download, come wen ur free..",sms-spam
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,sms-spam
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sms-spam
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,sms-spam
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,sms-spam
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,sms-spam
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",sms-spam
ham,Watching telugu movie..wat abt u?,sms-spam
ham,i see. When we finish we have loads of loans to pay,sms-spam
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",sms-spam
ham,I see a cup of coffee animation,sms-spam
ham,Please don't text me anymore. I have nothing else to say.,sms-spam
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,sms-spam
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,sms-spam
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,sms-spam
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",sms-spam
ham,Umma my life and vava umma love you lot dear,sms-spam
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,sms-spam
ham,"Aight, I'll hit you up when I get some cash",sms-spam
ham,How would my ip address test that considering my computer isn't a minecraft server,sms-spam
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,sms-spam
ham,Dont worry. I guess he's busy.,sms-spam
ham,What is the plural of the noun research?,sms-spam
ham,Going for dinner.msg you after.,sms-spam
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,sms-spam
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,sms-spam
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",sms-spam
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",sms-spam
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,sms-spam
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,sms-spam
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,sms-spam
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,sms-spam
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",sms-spam
ham,here is my new address -apples&pairs&all that malarky,sms-spam
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,sms-spam
ham,I am going to sao mu today. Will be done only at 12 ,sms-spam
ham,Ü predict wat time ü'll finish buying?,sms-spam
ham,"Good stuff, will do.",sms-spam
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",sms-spam
ham,Are you there in room.,sms-spam
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,sms-spam
ham,K..k:)how much does it cost?,sms-spam
ham,I'm home.,sms-spam
ham,"Dear, will call Tmorrow.pls accomodate.",sms-spam
ham,First answer my question.,sms-spam
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sms-spam
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,sms-spam
ham,I only haf msn. It's yijue@hotmail.com,sms-spam
ham,He is there. You call and meet him,sms-spam
ham,No no. I will check all rooms befor activities,sms-spam
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,sms-spam
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,sms-spam
ham,"K, text me when you're on the way",sms-spam
ham,"Sir, Waiting for your mail.",sms-spam
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",sms-spam
ham,I know you are. Can you pls open the back?,sms-spam
ham,Yes see ya not on the dot,sms-spam
ham,Whats the staff name who is taking class for us?,sms-spam
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",sms-spam
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,sms-spam
ham,K..i deleted my contact that why?,sms-spam
ham,Sindu got job in birla soft ..,sms-spam
ham,The wine is flowing and i'm i have nevering..,sms-spam
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,sms-spam
ham,Ok... Ur typical reply...,sms-spam
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,sms-spam
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",sms-spam
ham,Aaooooright are you at work?,sms-spam
ham,I'm leaving my house now...,sms-spam
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",sms-spam
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,sms-spam
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,sms-spam
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,sms-spam
ham,New car and house for my parents.:)i have only new job in hand:),sms-spam
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,sms-spam
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,sms-spam
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",sms-spam
ham,I place all ur points on e cultures module already.,sms-spam
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,sms-spam
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",sms-spam
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,sms-spam
ham,Yes :)it completely in out of form:)clark also utter waste.,sms-spam
ham,"Sir, I need AXIS BANK account no and bank address.",sms-spam
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",sms-spam
ham,What time you coming down later? ,sms-spam
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",sms-spam
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",sms-spam
ham,Let me know when you've got the money so carlos can make the call,sms-spam
ham,U still going to the mall?,sms-spam
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",sms-spam
ham,Text her. If she doesnt reply let me know so i can have her log in,sms-spam
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,sms-spam
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,sms-spam
ham,Lol no. U can trust me.,sms-spam
ham,ok. I am a gentleman and will treat you with dignity and respect.,sms-spam
ham,"He will, you guys close?",sms-spam
ham,Going on nothing great.bye,sms-spam
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,sms-spam
ham,"Haha awesome, be there in a minute",sms-spam
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,sms-spam
ham,Have you got Xmas radio times. If not i will get it now,sms-spam
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,sms-spam
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,sms-spam
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sms-spam
ham,Hi :)finally i completed the course:),sms-spam
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,sms-spam
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,sms-spam
ham,Gud mrng dear hav a nice day,sms-spam
ham,Did u got that persons story,sms-spam
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,sms-spam
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,sms-spam
ham,"Found it, ENC  &lt;#&gt; , where you at?",sms-spam
ham,I sent you  &lt;#&gt;  bucks,sms-spam
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,sms-spam
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,sms-spam
ham,Goodmorning sleeping ga.,sms-spam
ham,U call me alter at 11 ok.,sms-spam
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,sms-spam
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",sms-spam
ham,"Aight yo, dats straight dogg",sms-spam
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,sms-spam
ham,Both :) i shoot big loads so get ready!,sms-spam
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",sms-spam
ham,Home so we can always chat,sms-spam
ham,K:)k:)good:)study well.,sms-spam
ham,Yup... How ü noe leh...,sms-spam
ham,Sounds great! Are you home now?,sms-spam
ham,Finally the match heading towards draw as your prediction.,sms-spam
ham,Tired. I haven't slept well the past few nights.,sms-spam
ham,Easy ah?sen got selected means its good..,sms-spam
ham,I have to take exam with march 3,sms-spam
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,sms-spam
ham,Ok no prob. Take ur time.,sms-spam
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,sms-spam
ham,"Sorry, I'll call later",sms-spam
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,sms-spam
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",sms-spam
ham,Would really appreciate if you call me. Just need someone to talk to.,sms-spam
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",sms-spam
ham,Hey company elama po mudyadhu.,sms-spam
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",sms-spam
ham,Dear good morning now only i am up,sms-spam
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,sms-spam
ham,Dear we are going to our rubber place,sms-spam
ham,"Sorry battery died, yeah I'm here",sms-spam
ham,Yes:)here tv is always available in work place..,sms-spam
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,sms-spam
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,sms-spam
ham,Or ill be a little closer like at the bus stop on the same street,sms-spam
ham,Where are you?when wil you reach here?,sms-spam
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",sms-spam
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,sms-spam
ham,Tomarrow final hearing on my laptop case so i cant.,sms-spam
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,sms-spam
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",sms-spam
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",sms-spam
ham,U don't remember that old commercial?,sms-spam
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,sms-spam
ham,I asked you to call him now ok,sms-spam
ham,Kallis wont bat in 2nd innings.,sms-spam
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,sms-spam
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,sms-spam
ham,Ranjith cal drpd Deeraj and deepak 5min hold,sms-spam
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",sms-spam
ham,What you doing?how are you?,sms-spam
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",sms-spam
ham,"I'm back, lemme know when you're ready",sms-spam
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,sms-spam
ham,Mmm so yummy babe ... Nice jolt to the suzy,sms-spam
ham,Where are you lover ? I need you ...,sms-spam
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,sms-spam
ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?,sms-spam
ham,Yup,sms-spam
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,sms-spam
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,sms-spam
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,sms-spam
ham,Why you Dint come with us.,sms-spam
ham,Same. Wana plan a trip sometme then,sms-spam
ham,"Not sure yet, still trying to get a hold of him",sms-spam
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,sms-spam
ham,The evo. I just had to download flash. Jealous?,sms-spam
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,sms-spam
ham,"Come to mu, we're sorting out our narcotics situation",sms-spam
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",sms-spam
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,sms-spam
ham,"Usf I guess, might as well take 1 car",sms-spam
ham,No objection. My bf not coming.,sms-spam
ham,Thanx...,sms-spam
ham,Tell rob to mack his gf in the theater,sms-spam
ham,"Awesome, I'll see you in a bit",sms-spam
ham,Just sent it. So what type of food do you like?,sms-spam
ham,All done? All handed in? Celebrations in full swing yet?,sms-spam
ham,You got called a tool?,sms-spam
ham,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",sms-spam
ham,Ok. I asked for money how far,sms-spam
ham,Okie...,sms-spam
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",sms-spam
ham,"K, I might come by tonight then if my class lets out early",sms-spam
ham,Ok..,sms-spam
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,sms-spam
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",sms-spam
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",sms-spam
ham,Hey you told your name to gautham ah?,sms-spam
ham,Haf u found him? I feel so stupid da v cam was working.,sms-spam
ham,Oops. 4 got that bit.,sms-spam
ham,Are you this much buzy,sms-spam
ham,I accidentally deleted the message. Resend please.,sms-spam
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,sms-spam
ham,Unless it's a situation where YOU GO GURL would be more appropriate,sms-spam
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,sms-spam
ham,I cant pick the phone right now. Pls send a message,sms-spam
ham,Need a coffee run tomo?Can't believe it's that time of week already,sms-spam
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",sms-spam
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",sms-spam
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,sms-spam
ham,He is a womdarfull actor,sms-spam
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",sms-spam
ham,Yup... From what i remb... I think should be can book... ,sms-spam
ham,Jos ask if u wana meet up?,sms-spam
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,sms-spam
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",sms-spam
ham,Where are the garage keys? They aren't on the bookshelf,sms-spam
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,sms-spam
spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",sms-spam
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,sms-spam
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",sms-spam
ham,You made my day. Do have a great day too.,sms-spam
ham,K.k:)advance happy pongal.,sms-spam
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",sms-spam
ham,"Not really dude, have no friends i'm afraid :(",sms-spam
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,sms-spam
ham,"Coffee cake, i guess...",sms-spam
ham,"Merry Christmas to you too babe, i love ya *kisses*",sms-spam
ham,Hey... Why dont we just go watch x men and have lunch... Haha ,sms-spam
